日期,中壢,湖口,泰安,西螺,新營,仁德,關西,西湖,清水,南投,古坑,東山,關廟,石碇,蘇澳
2023/3/31,"452,194","522,572","1,858,424","1,537,261","801,774","599,225","1,554,212","1,192,827","2,314,598","922,318","525,637","1,033,506","338,914","319,938","825,189"
2023/4/1,"386,900","1,661,558","2,479,220","2,736,355","1,386,139","1,058,384","2,631,290","2,553,001","4,746,713","2,319,569","1,300,026","2,465,024","769,950","390,694","892,723"
2023/4/2,"468,940","1,806,550","2,992,862","2,878,814","1,308,365","1,180,811","3,056,419","2,521,954","5,029,291","149,863","1,393,157","2,787,627","874,459","442,514","1,071,490"
2023/4/3,"474,344","1,610,528","2,689,797","2,815,475","1,312,151","1,111,371","3,233,778","2,489,894","4,784,925","2,059,472","1,455,637","2,872,783","932,351","636,648","1,065,962"
2023/4/4,"404,026","1,480,745","2,561,718","2,497,152","1,151,349","890,826","2,821,589","1,992,286","4,594,678","1,726,797","1,212,922","2,592,617","942,210","637,026","1,010,865"
2023/4/5,"332,735","1,197,774","2,099,862","2,004,652","989,475","744,812","2,188,924","1,585,256","3,487,221","1,354,302","740,280","1,835,584","712,535","402,187","714,889"
2023/4/6,"253,100","626,316","1,184,857","1,013,531","555,710","537,096","1,037,416","718,869","1,593,352","667,078","323,472","1,064,005","421,809","312,146","466,967"
2023/4/7,"284,169","689,478","1,046,773","1,053,894","618,218","536,280","1,196,265","690,795","1,463,975","573,161","318,549","777,338","290,967","274,846","428,893"
2023/4/8,"309,671","935,574","1,544,653","1,509,436","825,714","670,950","1,627,995","1,078,094","2,246,466","962,429","602,628","1,356,221","365,723","333,192","534,991"
2023/4/9,"352,512","998,387","1,406,223","1,695,965","859,404","735,041","1,724,277","1,076,840","2,531,203","1,074,042","634,465","1,654,036","415,254","366,939","557,360"
2023/4/10,"246,190","635,268","1,049,841","972,695","527,754","538,470","952,350","637,725","1,554,789","486,286","282,837","804,720","336,068","286,829","369,533"
2023/4/11,"310,357","593,614","882,301","902,285","537,372","503,075","890,253","513,967","1,091,265","544,091","253,109","674,875","209,520","270,735","418,763"
2023/4/12,"284,330","617,932","902,073","802,366","496,402","499,595","960,070","585,365","1,124,030","448,270","262,829","615,878","235,491","279,016","381,370"
2023/4/13,"311,189","590,685","899,258","837,240","492,863","474,625","924,906","537,523","1,047,346","518,081","234,198","616,026","242,651","274,923","552,221"
2023/4/14,"310,817","730,815","1,068,976","1,165,233","647,789","523,653","1,202,542","830,605","1,455,714","616,190","325,248","816,958","242,405","298,598","638,034"
2023/4/15,"381,905","992,069","1,559,895","1,613,676","787,896","769,157","1,620,853","1,221,542","2,257,037","996,151","608,180","1,404,595","434,454","340,170","580,962"
2023/4/16,"333,938","1,079,436","1,424,936","1,668,308","914,692","794,513","1,904,175","1,166,715","2,551,965","1,279,506","671,613","1,716,261","418,605","445,466","670,941"
2023/4/17,"295,147","601,935","1,063,903","937,886","502,992","532,830","992,836","656,750","1,366,566","494,788","302,349","876,974","373,065","306,347","489,908"
2023/4/18,"272,595","587,561","903,503","822,539","491,433","478,419","920,354","542,536","1,105,883","551,703","236,603","637,669","239,643","290,768","420,634"
2023/4/19,"261,113","575,046","943,741","901,423","523,087","548,184","840,673","480,060","1,003,724","437,116","210,667","625,668","224,507","263,805","401,276"
2023/4/20,"323,780","635,373","915,432","921,425","514,247","676,383","840,469","550,569","981,042","471,272","188,231","635,366","226,115","330,237","357,528"
2023/4/21,"305,920","751,962","1,100,818","1,260,165","650,738","533,512","1,326,299","866,007","1,567,116","646,047","403,010","804,612","346,194","290,118","549,150"
2023/4/22,"339,909","1,118,821","1,633,176","1,761,207","836,234","798,867","1,886,352","1,394,768","2,746,184","1,138,656","592,934","1,530,962","484,976","332,634","684,083"
2023/4/23,"373,316","1,145,760","1,681,830","1,854,494","887,855","835,942","2,092,243","1,388,681","3,013,478","1,299,311","713,085","1,741,535","489,167","507,972","723,688"
2023/4/24,"261,608","631,826","1,194,625","1,155,741","668,900","602,658","1,129,391","1,072,219","1,747,227","626,520","281,346","872,451","445,402","321,372","580,711"
2023/4/25,"261,181","599,595","954,736","1,146,992","520,487","505,469","957,011","584,421","1,341,395","487,905","229,745","666,563","245,762","379,085","442,899"
2023/4/26,"415,030","658,241","963,462","974,354","534,193","480,198","924,751","577,273","1,265,722","451,536","226,307","631,810","294,554","611,333","456,539"
2023/4/27,"266,084","798,485","979,343","951,243","517,581","494,389","1,053,748","636,853","1,216,633","522,826","249,559","856,856","245,522","282,665","451,979"
2023/4/28,"332,068","771,872","1,197,967","1,212,098","750,987","532,414","1,340,046","861,078","1,752,545","778,404","362,615","850,005","291,234","314,578","825,034"
2023/4/29,"401,947","1,202,373","2,117,235","2,039,214","959,417","891,056","2,221,959","1,687,267","3,061,901","1,398,175","781,308","1,841,443","591,458","371,478","884,450"
2023/4/30,"557,284","1,523,583","2,395,458","2,279,219","1,011,596","1,140,347","2,574,381","1,909,367","3,788,197","1,961,025","949,423","2,468,682","883,346","493,744","929,024"
2023/5/1,"366,480","1,068,305","1,251,208","1,566,898","781,440","494,383","1,907,725","1,232,133","2,626,525","1,002,151","622,880","1,389,152","334,194","532,174","878,891"
2023/5/2,"263,289","518,688","1,014,611","926,533","503,238","517,129","1,017,255","604,322","1,209,009","493,452","281,100","736,109","335,200","258,767","394,920"
2023/5/3,"285,535","550,515","898,638","836,709","560,304","421,715","834,657","537,353","1,053,954","466,988","199,007","539,306","247,593","264,397","405,099"
2023/5/4,"266,377","559,235","808,975","852,217","488,522","439,487","836,863","533,776","1,061,307","455,961","203,362","581,940","214,287","257,670","397,719"
2023/5/5,"307,132","715,547","996,928","1,194,419","630,465","518,856","1,194,773","746,717","1,551,911","615,220","275,915","728,729","281,827","291,033","467,066"
2023/5/6,"363,164","966,281","1,624,092","1,720,540","771,419","745,120","1,819,230","1,203,336","2,368,993","1,076,241","602,050","1,376,029","484,421","366,160","684,736"
2023/5/7,"358,191","1,135,681","1,493,652","1,762,007","890,312","777,352","1,971,317","1,362,449","2,755,991","1,062,250","550,936","1,547,558","501,966","483,173","726,914"
2023/5/8,"265,673","694,737","1,165,356","993,637","493,273","571,250","1,028,798","688,851","1,527,034","515,488","271,977","813,371","410,025","327,224","460,146"
2023/5/9,"267,683","575,404","1,015,476","854,858","490,140","476,643","924,231","587,005","1,163,963","532,209","220,173","648,012","229,733","263,203","391,440"
2023/5/10,"273,143","572,768","929,498","926,821","491,462","490,342","912,220","551,529","1,038,459","483,247","194,383","559,383","224,997","284,559","401,238"
2023/5/11,"299,582","568,519","882,286","904,810","517,326","479,721","945,519","609,491","1,172,516","481,081","221,141","615,776","240,503","281,264","476,524"
2023/5/12,"343,755","813,723","1,147,408","1,293,934","745,372","535,452","1,305,774","928,531","1,851,449","656,455","341,294","831,833","268,618","298,495","560,447"
2023/5/13,"400,561","1,043,907","1,738,923","1,796,693","884,186","849,596","1,844,312","1,315,268","2,680,404","1,090,615","637,211","1,568,160","449,119","342,136","650,659"
2023/5/14,"399,759","1,189,782","1,531,828","1,871,733","885,371","799,340","2,048,740","1,409,135","2,996,535","1,220,377","631,703","1,662,815","446,950","484,378","618,643"
2023/5/15,"266,689","662,229","1,116,004","1,016,233","520,574","598,296","1,097,447","728,876","1,385,102","559,318","291,658","872,852","348,077","312,638","496,307"
2023/5/16,"291,200","589,178","869,174","852,979","461,924","482,390","875,099","552,837","1,095,163","481,210","228,950","597,568","229,851","276,041","400,754"
2023/5/17,"290,125","591,619","812,191","839,030","456,662","433,150","828,809","547,236","1,008,731","455,182","199,989","717,771","216,717","368,768","386,925"
2023/5/18,"295,309","600,292","834,746","918,727","530,983","467,064","951,657","582,320","1,218,762","480,245","217,894","593,620","243,330","259,123","424,323"
2023/5/19,"334,326","783,549","997,178","1,167,853","677,659","480,620","1,325,628","861,195","1,680,433","752,767","324,050","888,608","297,606","327,933","572,076"
2023/5/20,"398,549","1,151,464","1,684,982","1,759,710","859,146","764,996","1,846,794","1,298,065","2,618,131","1,028,227","579,237","1,424,841","500,653","337,447","695,622"
2023/5/21,"418,050","1,168,634","1,583,196","1,891,424","878,421","754,969","2,125,556","1,312,899","3,131,925","1,204,706","770,894","1,850,897","495,823","521,664","726,804"
2023/5/22,"251,219","612,352","1,136,547","951,597","541,565","602,529","1,032,446","729,001","1,287,625","580,365","332,818","983,880","449,215","314,455","542,259"
2023/5/23,"291,701","547,558","852,823","1,007,628","480,175","606,204","836,040","522,025","1,062,038","455,575","196,540","628,249","304,519","363,435","434,354"
2023/5/24,"273,331","570,853","834,556","876,342","484,959","499,275","938,586","521,597","996,535","466,809","212,639","671,503","226,087","478,923","425,827"
2023/5/25,"346,346","680,318","1,051,524","916,346","481,139","466,599","1,053,608","595,939","1,125,762","586,721","222,710","644,641","233,489","268,044","449,071"
2023/5/26,"443,194","746,125","1,115,486","1,446,811","674,762","523,863","1,336,242","827,320","1,686,173","645,650","360,085","951,119","280,515","380,609","595,867"
2023/5/27,"413,794","1,249,015","1,749,284","1,823,004","849,533","821,854","2,100,261","1,397,609","2,675,347","1,064,875","655,881","1,532,270","503,977","376,994","740,437"
2023/5/28,"419,638","1,255,404","1,672,499","2,015,647","894,347","780,859","2,260,943","1,422,596","3,016,108","1,200,039","768,109","1,779,492","516,406","583,704","753,951"
2023/5/29,"312,305","570,310","1,142,777","959,295","605,795","539,772","1,047,787","982,791","1,611,339","491,644","249,120","803,357","424,494","284,000","574,957"
2023/5/30,"322,734","640,826","817,211","856,693","473,218","470,755","794,893","505,680","1,029,022","455,706","232,601","606,918","249,340","240,434","370,807"
2023/5/31,"365,813","636,060","1,020,891","878,449","477,065","455,331","732,204","543,871","1,007,418","633,604","194,299","547,749","241,342","195,689","239,363"
2023/6/1,"267,872","552,476","651,881","839,570","472,836","396,352","756,888","518,502","972,798","255,789","183,567","536,560","161,633","212,327","298,961"
